# ResFinder phenotype results.
# Sample: 573.5765.fna
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
gentamicin	aminoglycoside	No resistance	0	
tobramycin	aminoglycoside	Resistant	3	aac(6')-Ib (aac(6')-Ib_M21682)
streptomycin	aminoglycoside	Resistant	1	aph(6)-Id (aph(6)-Id_M28829), aph(3'')-Ib (aph(3'')-Ib_AF321551)
amikacin	aminoglycoside	Resistant	3	aac(6')-Ib (aac(6')-Ib_M21682)
isepamicin	aminoglycoside	No resistance	0	
dibekacin	aminoglycoside	No resistance	0	
kanamycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_V00359)
neomycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_V00359)
lividomycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_V00359)
paromomycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_V00359)
ribostamycin	aminoglycoside	Resistant	3	aph(3')-Ia (aph(3')-Ia_V00359)
unknown aminoglycoside	aminoglycoside	No resistance	0	
butiromycin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	No resistance	0	
hygromycin	aminoglycoside	No resistance	0	
netilmicin	aminoglycoside	No resistance	0	
apramycin	aminoglycoside	No resistance	0	
sisomicin	aminoglycoside	No resistance	0	
arbekacin	aminoglycoside	No resistance	0	
kasugamycin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	No resistance	0	
fortimicin	aminoglycoside	No resistance	0	
spectinomycin	aminocyclitol	No resistance	0	
fluoroquinolone	quinolone	No resistance	0	
ciprofloxacin	quinolone	Resistant	3	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913)
unknown quinolone	quinolone	No resistance	0	
nalidixic acid	quinolone	Resistant	3	OqxB (OqxB_EU370913), OqxA (OqxA_EU370913)
amoxicillin	beta-lactam	Resistant	3	blaTEM-1D (blaTEM-1D_AF188200), blaKPC-2 (blaKPC-2_AY034847), blaSHV-12 (blaSHV-12_KF976405), blaSHV-129 (blaSHV-129_GU827715), blaSHV-31 (blaSHV-31_AY277255), blaSHV-13 (blaSHV-13_AF164577)
amoxicillin+clavulanic acid	beta-lactam	Resistant	3	blaKPC-2 (blaKPC-2_AY034847)
