task_id	track	model	gold	prediction	automatic_correct	confidence	evidence_items	answer_correct	evidence_valid	hallucinated_gene	hallucinated_source	wrong_antibiotic_class	overconfident	clinical_overclaim	notes
genopheno_kp_000001	genopheno	rule_baseline	susceptible	resistant	False	0.76	4								
genopheno_kp_000004	genopheno	rule_baseline	susceptible	resistant	False	0.76	6								
genopheno_kp_000009	genopheno	rule_baseline	susceptible	resistant	False	0.76	3								
genopheno_kp_000010	genopheno	rule_baseline	susceptible	resistant	False	0.76	4								
genopheno_kp_000025	genopheno	rule_baseline	susceptible	resistant	False	0.76	3								
genopheno_kp_000034	genopheno	rule_baseline	susceptible	resistant	False	0.76	4								
genopheno_kp_000047	genopheno	rule_baseline	susceptible	resistant	False	0.76	2								
genopheno_kp_000048	genopheno	rule_baseline	susceptible	resistant	False	0.76	3								
genopheno_kp_000049	genopheno	rule_baseline	susceptible	resistant	False	0.76	6								
genopheno_kp_000050	genopheno	rule_baseline	intermediate	resistant	False	0.76	6								
genopheno_kp_000002	genopheno	rule_baseline	resistant	resistant	True	0.76	6								
genopheno_kp_000003	genopheno	rule_baseline	resistant	resistant	True	0.76	4								
genopheno_kp_000005	genopheno	rule_baseline	resistant	resistant	True	0.76	4								
genopheno_kp_000006	genopheno	rule_baseline	resistant	resistant	True	0.76	6								
genopheno_kp_000007	genopheno	rule_baseline	resistant	resistant	True	0.76	6								
genopheno_kp_000008	genopheno	rule_baseline	resistant	resistant	True	0.76	6								
genopheno_kp_000011	genopheno	rule_baseline	resistant	resistant	True	0.76	1								
genopheno_kp_000012	genopheno	rule_baseline	resistant	resistant	True	0.76	5								
genopheno_kp_000013	genopheno	rule_baseline	resistant	resistant	True	0.76	4								
genopheno_kp_000014	genopheno	rule_baseline	resistant	resistant	True	0.76	4								
dbreconcile_kp_000001	dbreconcile	rule_baseline	gene_family_vs_allele	gene_family_vs_allele	True	0.72	2								
dbreconcile_kp_000002	dbreconcile	rule_baseline	drug_mapping_difference	drug_mapping_difference	True	0.72	2								
dbreconcile_kp_000003	dbreconcile	rule_baseline	drug_mapping_difference	drug_mapping_difference	True	0.72	2								
dbreconcile_kp_000004	dbreconcile	rule_baseline	drug_mapping_difference	drug_mapping_difference	True	0.72	2								
dbreconcile_kp_000005	dbreconcile	rule_baseline	drug_mapping_difference	drug_mapping_difference	True	0.72	2								
dbreconcile_kp_000006	dbreconcile	rule_baseline	gene_family_vs_allele	gene_family_vs_allele	True	0.72	2								
dbreconcile_kp_000007	dbreconcile	rule_baseline	gene_family_vs_allele	gene_family_vs_allele	True	0.72	2								
dbreconcile_kp_000008	dbreconcile	rule_baseline	drug_mapping_difference	drug_mapping_difference	True	0.72	3								
dbreconcile_kp_000009	dbreconcile	rule_baseline	drug_mapping_difference	drug_mapping_difference	True	0.72	2								
dbreconcile_kp_000010	dbreconcile	rule_baseline	drug_mapping_difference	drug_mapping_difference	True	0.72	4								
